Date	rstar	g	z	Output gap
1/1/61	5.0812	4.8078	0.0026	-3.7458
4/1/61	5.2904	5.0005	0.0083	-3.4350
7/1/61	5.2548	4.9645	0.0106	-2.7135
10/1/61	5.2515	4.9639	0.0081	-2.0287
1/1/62	5.1039	4.8221	0.0102	-1.2255
4/1/62	4.6139	4.3668	0.0012	-0.6352
7/1/62	4.5049	4.2658	-0.0011	-0.2849
10/1/62	4.0728	3.8736	-0.0189	-0.1275
1/1/63	4.0603	3.8588	-0.0158	0.0462
4/1/63	4.0267	3.8253	-0.0141	0.3040
7/1/63	4.3319	4.1036	-0.0028	0.7135
10/1/63	4.0741	3.8592	-0.0025	1.1411
1/1/64	4.3582	4.1231	0.0029	1.3836
4/1/64	4.2777	4.0602	-0.0111	1.5993
7/1/64	4.3730	4.1539	-0.0149	1.7722
10/1/64	4.1344	3.9442	-0.0319	1.7710
1/1/65	4.4895	4.2631	-0.0137	2.0009
4/1/65	4.4580	4.2380	-0.0186	2.2717
7/1/65	4.6894	4.4533	-0.0146	2.5447
10/1/65	4.8879	4.6392	-0.0125	2.9420
1/1/66	5.1019	4.8173	0.0134	3.5315
4/1/66	4.8653	4.5624	0.0459	3.8833
7/1/66	4.8540	4.5269	0.0722	3.8372
10/1/66	4.8403	4.4984	0.0885	3.7064
1/1/67	4.8064	4.5283	0.0230	3.0984
4/1/67	4.6240	4.3578	0.0208	2.7780
7/1/67	4.6709	4.3663	0.0587	2.7230
10/1/67	4.6301	4.3006	0.0873	2.7743
1/1/68	4.8551	4.4670	0.1365	3.1314
4/1/68	4.9394	4.5205	0.1643	3.5201
7/1/68	4.8497	4.4348	0.1651	3.5528
10/1/68	4.7390	4.3256	0.1698	3.3469
1/1/69	4.8685	4.4550	0.1625	3.2065
4/1/69	4.7082	4.2939	0.1724	3.1598
7/1/69	4.6634	4.2607	0.1627	2.8662
10/1/69	4.3931	4.0363	0.1295	2.2359
1/1/70	4.2514	3.9301	0.0999	1.4746
4/1/70	4.1736	3.8635	0.0924	0.9160
7/1/70	4.2113	3.9194	0.0711	0.5509
10/1/70	3.8538	3.5386	0.1159	0.3578
1/1/71	4.2566	3.9093	0.1272	0.4940
4/1/71	4.0326	3.7198	0.1033	0.8544
7/1/71	3.8869	3.6484	0.0331	0.8776
10/1/71	3.5908	3.5103	-0.1172	0.4248
1/1/72	3.7471	3.6715	-0.1312	0.5963
4/1/72	3.8537	3.8551	-0.2186	0.8570
7/1/72	3.7217	3.7544	-0.2442	1.2245
