Date	rstar	g	z	Output gap
1/1/61	4.3797	4.2012	-0.0582	-3.3726
4/1/61	4.3653	4.1938	-0.0647	-2.9039
7/1/61	4.3474	4.1837	-0.0719	-2.1573
10/1/61	4.3271	4.1716	-0.0794	-1.3762
1/1/62	4.3071	4.1586	-0.0857	-0.7750
4/1/62	4.2961	4.1526	-0.0904	-0.6033
7/1/62	4.2885	4.1479	-0.0930	-0.4752
10/1/62	4.2935	4.1535	-0.0939	-0.6763
1/1/63	4.2998	4.1599	-0.0944	-0.6109
4/1/63	4.3072	4.1679	-0.0954	-0.3989
7/1/63	4.3055	4.1670	-0.0962	0.1827
10/1/63	4.3126	4.1744	-0.0969	0.2846
1/1/64	4.3096	4.1725	-0.0980	0.7994
4/1/64	4.3100	4.1737	-0.0987	0.9942
7/1/64	4.3076	4.1712	-0.0986	1.2316
10/1/64	4.3142	4.1782	-0.0993	1.1219
1/1/65	4.3042	4.1713	-0.1020	1.7564
4/1/65	4.2932	4.1653	-0.1067	2.1592
7/1/65	4.2681	4.1491	-0.1148	2.9276
10/1/65	4.2298	4.1234	-0.1258	3.7854
1/1/66	4.1796	4.0866	-0.1371	4.5101
4/1/66	4.1400	4.0589	-0.1475	4.3205
7/1/66	4.0994	4.0305	-0.1582	4.1268
10/1/66	4.0577	4.0015	-0.1692	3.9096
1/1/67	4.0150	3.9709	-0.1795	3.6600
4/1/67	3.9802	3.9474	-0.1895	3.1379
7/1/67	3.9417	3.9212	-0.2003	2.9748
10/1/67	3.9029	3.8964	-0.2129	2.9566
1/1/68	3.8499	3.8604	-0.2279	3.4814
4/1/68	3.7907	3.8189	-0.2434	3.8708
7/1/68	3.7342	3.7796	-0.2584	3.7911
10/1/68	3.6806	3.7440	-0.2742	3.5150
1/1/69	3.6175	3.6995	-0.2904	3.6145
4/1/69	3.5617	3.6610	-0.3054	3.2834
7/1/69	3.5074	3.6221	-0.3187	2.8870
10/1/69	3.4664	3.5937	-0.3298	1.9771
1/1/70	3.4313	3.5700	-0.3398	1.1382
4/1/70	3.3990	3.5486	-0.3495	0.5076
7/1/70	3.3644	3.5231	-0.3571	0.1552
10/1/70	3.3493	3.5162	-0.3650	-0.6592
1/1/71	3.3112	3.4884	-0.3736	-0.0738
4/1/71	3.2849	3.4696	-0.3800	-0.0153
7/1/71	3.2642	3.4544	-0.3848	0.0497
10/1/71	3.2524	3.4483	-0.3901	0.0017
1/1/72	3.2284	3.4333	-0.3982	0.6131
4/1/72	3.1931	3.4087	-0.4076	1.5047
7/1/72	3.1613	3.3889	-0.4184	1.9736
10/1/72	3.1199	3.3633	-0.4328	2.6817
1/1/73	3.0623	3.3244	-0.4494	3.6211
4/1/73	3.0061	3.2859	-0.4648	3.8184
7/1/73	2.9640	3.2603	-0.4800	3.2319
10/1/73	2.9152	3.2279	-0.4945	2.9047
1/1/74	2.8813	3.2078	-0.5072	1.8701
4/1/74	2.8484	3.1865	-0.5176	1.0673
7/1/74	2.8330	3.1782	-0.5242	-0.1422
10/1/74	2.8287	3.1765	-0.5267	-1.2025
1/1/75	2.8454	3.1924	-0.5269	-2.3054
4/1/75	2.8603	3.2075	-0.5279	-2.3871
7/1/75	2.8679	3.2165	-0.5298	-1.8039
10/1/75	2.8745	3.2255	-0.5326	-1.2080
1/1/76	2.8714	3.2250	-0.5352	-0.3773
4/1/76	2.8785	3.2321	-0.5356	-0.1382
7/1/76	2.8932	3.2451	-0.5347	-0.1328
10/1/76	2.9113	3.2611	-0.5335	-0.0601
1/1/77	2.9272	3.2762	-0.5334	0.3174
4/1/77	2.9347	3.2841	-0.5344	1.0590
7/1/77	2.9388	3.2874	-0.5337	1.6462
10/1/77	2.9577	3.3033	-0.5316	1.4844
1/1/78	2.9781	3.3244	-0.5335	1.5551
4/1/78	2.9628	3.3150	-0.5388	2.9095
7/1/78	2.9520	3.3098	-0.5443	3.3393
10/1/78	2.9368	3.3003	-0.5494	3.5691
1/1/79	2.9288	3.2968	-0.5537	3.2229
4/1/79	2.9232	3.2958	-0.5582	2.6774
7/1/79	2.9130	3.2905	-0.5628	2.3372
10/1/79	2.9061	3.2873	-0.5664	1.8251
1/1/80	2.9015	3.2830	-0.5665	1.0217
4/1/80	2.9221	3.3004	-0.5643	-0.7259
7/1/80	2.9382	3.3161	-0.5647	-1.5986
10/1/80	2.9346	3.3162	-0.5684	-1.3055
1/1/81	2.9184	3.3041	-0.5717	-0.9548
4/1/81	2.9162	3.3050	-0.5749	-1.7505
7/1/81	2.9004	3.2923	-0.5773	-2.2512
10/1/81	2.9001	3.2907	-0.5760	-3.7531
1/1/82	2.9162	3.3033	-0.5731	-5.3923
4/1/82	2.9276	3.3104	-0.5693	-6.1493
7/1/82	2.9480	3.3244	-0.5637	-7.0626
10/1/82	2.9725	3.3425	-0.5582	-7.6022
1/1/83	2.9903	3.3561	-0.5547	-7.2673
4/1/83	2.9964	3.3604	-0.5532	-6.2845
7/1/83	2.9963	3.3603	-0.5533	-5.3087
10/1/83	2.9884	3.3545	-0.5550	-4.3152
1/1/84	2.9743	3.3439	-0.5580	-3.4215
4/1/84	2.9555	3.3293	-0.5613	-2.7719
7/1/84	2.9391	3.3167	-0.5644	-2.5318
10/1/84	2.9232	3.3049	-0.5679	-2.4732
1/1/85	2.9042	3.2907	-0.5719	-2.4428
4/1/85	2.8841	3.2764	-0.5769	-2.3371
7/1/85	2.8573	3.2561	-0.5822	-1.9705
10/1/85	2.8340	3.2390	-0.5873	-1.8744
1/1/86	2.8102	3.2209	-0.5921	-1.8253
4/1/86	2.7906	3.2068	-0.5968	-1.9544
7/1/86	2.7694	3.1910	-0.6013	-1.9201
10/1/86	2.7522	3.1787	-0.6054	-1.9940
1/1/87	2.7357	3.1674	-0.6100	-1.9549
4/1/87	2.7165	3.1541	-0.6153	-1.7533
7/1/87	2.6967	3.1416	-0.6218	-1.5472
10/1/87	2.6676	3.1209	-0.6290	-1.0799
1/1/88	2.6439	3.1055	-0.6365	-1.0093
4/1/88	2.6145	3.0852	-0.6444	-0.7418
7/1/88	2.5880	3.0683	-0.6531	-0.6708
10/1/88	2.5544	3.0460	-0.6632	-0.3584
1/1/89	2.5179	3.0217	-0.6740	-0.1690
4/1/89	2.4798	2.9968	-0.6857	-0.1468
